"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","CellDivision","CellDivision","Location","Location","Location"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Yes","No","S1","S0","S2"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(µm)","","","","","","",""
"0","0","","1","109","211.55677524698655","222.39807703488847","14.062594566807116","14.727718012782375","1617.4122032710713","1087.0468267728302","228.86696342659766","5.131581182307066","0","110","0","1","1","0","0"
"1","1","","2","95","398.7706186498494","224.3379037564866","24.897429544437855","17.078664431227832","1666.5555645427005","1062.2637767995782","240.81510761220386","4.447973346369502","44","110","0","1","1","0","0"
"2","2","","1","109","172.2140248462429","202.00113609643967","13.054322468321216","14.50133561112053","1666.272517635942","1141.6196156782637","242.51084967084736","5.131581182307067","42","110","0","1","1","0","0"
"3","3","","2","108","176.1402826432464","201.27391494207527","12.637759374018604","13.657285374443639","1665.5848987462398","1140.5371542487776","242.3802047556469","5.131581182307067","42","110","0","1","1","0","0"
"4","4","","2","107","180.84073050274006","206.77462924840523","14.539740991280942","15.752334805038382","1663.8644707883516","1138.0096661834525","242.04804456201336","5.131581182307067","42","110","0","1","1","0","0"
"7","7","","1","109","210.21532619836637","197.58483302878312","16.785177364706456","13.85094771689664","1685.092512915809","1104.9923667326116","219.6214967894395","4.665073802097333","24","110","0","1","1","0","0"
"8","8","6.478045543625733","2","106","185.29877074545408","205.1326179118147","13.693542999192763","14.436517666935746","1662.4027510513579","1133.4347619575103","248.71635116310034","5.131581182307067","42","110","0","1","1","0","0"
"9","9","","1","109","219.54733170335487","254.61431203852916","15.165025209846727","25.41760098924422","1635.221567070366","1083.973292313057","237.21859326553155","5.644739300537773","22","110","0","1","1","0","0"
"10","10","","1","109","169.05375859304542","300.76366166362885","12.654690004181896","26.495042821614753","1575.0695844215127","1140.5211944455389","234.1445953884644","5.644739300537773","29","110","0","1","1","0","0"
"11","11","6.907034474149322","2","105","187.19255281529163","210.2178785380043","12.982428688054023","14.563369148495429","1663.9668869952143","1133.8563865742183","246.8405736536605","5.131581182307067","42","110","0","1","1","0","0"
"12","12","8.198068445246369","2","104","201.6555861466499","210.08341162617708","14.65296170730865","16.544223661344827","1662.4563955072513","1129.7570210866975","241.68660285161218","5.131581182307067","42","110","0","1","1","0","0"
"13","13","","1","109","162.58654548786436","240.71430412591036","12.247406316984573","19.232167961684457","1564.6935554974382","1131.6310487666135","222.73993325936158","5.131581182307066","40","110","0","1","1","0","0"
"14","14","8.512941114003153","2","103","202.64653715494953","207.89698991374044","13.683744962104486","16.316045644185028","1662.2261227631834","1130.3477104104793","243.28987134750219","5.131581182307067","42","110","0","1","1","0","0"
"15","15","","1","109","164.22281514304254","241.93707576880107","11.951215841960774","19.10712832601196","1646.008300969306","1164.8682774953854","222.77741936548966","5.131581182307066","3","110","0","1","1","0","0"
"17","17","9.238527718756204","2","102","199.0084765489728","212.36450975637243","14.242814941344202","16.222434154139176","1663.8736194392698","1131.9936141530015","249.14209632155737","5.131581182307067","42","110","0","1","1","0","0"
"18","18","","2","108","169.2007615410641","241.27678321002938","12.962469785091258","17.36372032656131","1644.5574986822357","1162.758542171803","222.4701620241746","5.131581182307066","3","110","0","1","1","0","0"
"19","19","9.270218100169915","2","101","206.03888341945077","210.37732198526874","15.482323526643968","14.94234613625463","1667.6346414179166","1130.4315389479661","250.92405946329558","5.131581182307067","42","110","0","1","1","0","0"
"20","20","8.809142556204218","2","100","214.4963172970965","211.4261411757281","16.66419340780789","14.521552476751996","1667.5335824953497","1127.8675061618092","244.19260382912336","5.131581182307067","42","110","0","1","1","0","0"
"21","21","","1","109","158.701326035152","219.1138525063453","11.909212772974143","18.10197749189579","1720.2510012938335","1110.6721599064933","242.9489700054706","5.131581182307066","48","110","0","1","1","0","0"
"22","22","10.364210072594364","2","99","222.7250214486801","219.03910688060466","16.979428931246936","15.729133131539452","1668.4744570556322","1126.262200789872","246.10404502166222","5.131581182307067","42","110","0","1","1","0","0"
"23","23","15.093701667022753","2","98","233.34800252524724","226.36596111718418","17.394745480363206","17.414908279736014","1669.61880228618","1124.6599507563005","243.5133508730499","5.131581182307067","42","110","0","1","1","0","0"
"24","24","13.458667222050908","2","97","242.36015056317","219.73175597400947","17.355207075889084","15.14450987150129","1668.7955800143002","1122.6058761626737","244.0265156381091","5.131581182307067","42","110","0","1","1","0","0"
"25","25","","1","109","540.9423750802194","227.6028741181699","76.12983133128509","18.493454759210533","1697.6565129028004","1048.5266661172532","223.0175891065989","4.8927706810064535","25","197","1","0","1","0","0"
"26","26","15.273743247480162","2","96","262.4591212198708","218.0688956092483","20.21189417992438","13.875443135935226","1666.810682158427","1121.030506387321","242.69294980153404","5.131581182307067","42","110","0","1","1","0","0"
"27","27","16.724184471072377","2","95","265.1929635546364","218.3671690158733","20.606310807631555","15.65292367966834","1668.6379804657404","1121.7423918895188","244.26342066241844","5.131581182307067","42","110","0","1","1","0","0"
"29","29","16.774874266400126","2","94","269.03838516579475","217.01327455540618","22.001631375694345","17.09760556702797","1668.1362625163065","1122.7336009632136","247.42597422555454","5.131581182307067","42","110","0","1","1","0","0"
"30","30","","1","109","180.07388706557103","263.4056200328447","12.251750369468427","23.038194284932548","1637.1184221859608","1127.5779115634527","189.76075033784173","5.382047749107099","38","110","0","1","1","0","0"
"31","31","","1","109","172.90426554204592","243.83330089289743","13.248142190194187","24.751540367243983","1627.3237386503306","1131.1039245418083","173.75357641800056","5.920252524017809","4","110","0","1","1","0","0"
"32","32","","1","109","176.20387045618799","256.1412296319201","12.834277469271163","25.67793869506176","1611.6382944087566","1115.1752859129715","170.16415023322173","5.644739300537773","30","110","0","1","1","0","0"
"33","33","","2","43","702.2830237483712","469.4454425779955","107.85615941609883","50.67988214594681","1675.0050177178605","1014.6035657208895","204.3488357743808","4.665073802097334","18","182","1","0","1","0","0"
"34","34","19.47729405699651","2","93","285.27346466462177","221.74135852801808","20.448592111147022","14.63768498199849","1669.791404389268","1120.703249275744","249.10018333291575","5.131581182307067","42","110","0","1","1","0","0"
"35","35","","1","109","159.6033416531632","262.3775372763259","12.347102121895015","25.9246031965361","1613.83153065689","1165.4305389517804","176.1864076339057","5.920252524017809","11","110","0","1","1","0","0"
"36","36","","2","73","498.83743986048154","255.01114336804352","31.168941174650417","35.680180597508475","1592.94479811642","1067.6834741859866","182.3321399329224","4.8927706810064535","6","148","1","0","1","0","0"
"37","37","","1","109","153.5025086438093","200.90303398143365","11.748105062947394","18.516410925691208","1580.0796484309794","1131.3593348874847","169.00870565216806","6.51227777641959","20","186","1","0","1","0","0"
"38","38","","2","51","350.74367213241095","386.93488680894774","37.31089237367128","41.08542389986954","1702.2123777293332","999.2682549386681","226.64711256261404","4.447973346369504","17","177","1","0","1","0","0"
"39","39","9.029867319575752","2","92","285.8614259023596","222.63118077243433","19.522819513687413","16.073282424860306","1671.6441083595992","1119.300650565426","246.37698912713483","5.131581182307067","42","110","0","1","1","0","0"
"40","40","8.131215602924792","2","91","292.32837655618897","214.36662428813977","23.869857139126353","15.762471190466949","1673.320090888636","1118.8266318489393","248.78216945161535","5.131581182307067","42","110","0","1","1","0","0"
"41","41","13.479931256422253","2","90","292.06529810491793","217.97733870287234","23.871364507593956","16.587111607519393","1675.1021865308303","1119.1128790562327","246.60716884586955","5.131581182307067","42","110","0","1","1","0","0"
"43","43","","2","89","315.08565098638076","218.74363230165324","24.36936145083264","17.613284283894068","1674.8042943848839","1118.02381370581","246.54921270112658","5.131581182307067","42","110","0","1","1","0","0"
"44","44","","2","88","343.4155232676913","222.97771118476894","21.810864248287487","15.566730535329153","1673.8451594548053","1116.1847449326476","246.34031805046396","5.131581182307067","42","110","0","1","1","0","0"
"45","45","","1","109","184.43775797262217","218.3128184274092","13.099840276517055","16.61224943356983","1587.9217300172884","1114.8088241922655","213.7715231871294","4.892770681006453","46","184","1","0","1","0","0"
"46","46","","2","87","354.4705929521626","235.91357967155693","26.358393087667494","21.167460277161695","1675.0613227378428","1116.537889637371","243.69076251312228","5.131581182307067","42","110","0","1","1","0","0"
"47","47","","2","86","375.5907076843619","237.2223334138378","23.03429148605919","19.962738255369025","1672.7306083703204","1114.269909477309","243.15372118829512","5.131581182307067","42","110","0","1","1","0","0"
"48","48","","2","85","391.09871064955075","232.26258481132956","26.043316756830475","17.954506273637907","1674.0530939385847","1115.7699163227883","243.4555982001344","5.131581182307067","42","110","0","1","1","0","0"
"49","49","11.272960200411129","2","84","405.4203689357419","246.925786900179","27.268312853483778","18.857621790586467","1674.937491903055","1114.9799253194692","241.15429293539182","5.131581182307067","42","110","0","1","1","0","0"
"50","50","","2","83","427.62288478031314","250.96863780924255","29.393697786124157","20.555026092616238","1675.3172071643005","1114.2838315722595","241.25603185067692","5.131581182307067","42","110","0","1","1","0","0"
"51","51","8.51154415377228","2","82","432.6644754618088","246.51563582904595","34.250352443463555","19.372945103805108","1677.9899380569632","1112.5865179475134","241.18590319309845","5.131581182307067","42","110","0","1","1","0","0"
"52","52","","2","81","461.9322861031749","239.9702900772046","29.333253655160267","20.332687832257953","1675.394162640919","1112.111690164575","241.3196219600275","5.131581182307067","42","110","0","1","1","0","0"
"53","53","","2","92","454.994516575672","225.509035243599","30.090365667721873","15.00264197438148","1667.725299233347","1058.24213870351","238.23090520944143","4.447973346369502","44","110","0","1","1","0","0"
"54","54","","2","80","485.2594892423695","235.27734020792576","35.31836579342727","17.92947391337452","1675.9349531152773","1110.006939404005","241.40189732184092","5.131581182307067","42","110","0","1","1","0","0"
"56","56","","2","74","797.8134428622991","228.3368009286593","40.375734365043435","16.28896646631916","1653.4175462249264","1049.1245816838768","241.3436639065614","4.665073802097331","27","110","0","1","1","0","0"
"58","58","","2","79","498.43898303915165","240.50924884196644","38.15585378027951","17.464488776875186","1677.2554130104547","1110.8450198124606","241.7340582163385","5.131581182307067","42","110","0","1","1","0","0"
"59","59","8.160766788934229","2","78","495.79684177177177","244.02543723066137","32.857731936945925","19.54833270211674","1676.5364227882706","1109.9678200459994","240.30070597928315","5.131581182307067","42","110","0","1","1","0","0"
